Voltage,Time(ms)
2.50,35268
1.42,35268
0.79,35268
0.44,35269
0.26,35269
0.16,35269
0.11,35270
0.08,35270
0.06,35270
0.04,35271
0.03,35271
0.02,35271
0.02,35271
0.02,35272
0.01,35272
0.01,35272
0.01,35273
0.01,35273
0.01,35273
0.01,35274
0.01,35274
0.01,35274
0.01,35274
0.00,35275
0.01,35275
0.01,35275
0.01,35276
0.01,35276
0.02,35276
0.01,35276
0.01,35277
0.01,35277
0.01,35277
0.01,35278
0.01,35278
0.01,35278
0.01,35278
0.01,35279
0.01,35279
0.01,35279
0.01,35280
0.00,35280
0.01,35280
0.00,35280
0.01,35281
0.01,35281
0.01,35281
0.00,35282
0.01,35282
0.01,35282
0.01,35282
0.01,35283
0.01,35283
0.00,35283
0.01,35284
0.01,35284
0.01,35284
0.00,35284
0.01,35285
0.00,35285
0.01,35285
0.01,35286
0.00,35286
0.00,35286
0.00,35286
0.00,35287
0.00,35287
0.00,35287
0.01,35287
0.00,35288
0.00,35288
0.00,35288
0.01,35289
0.00,35289
0.00,35289
0.00,35289
0.00,35290
0.01,35290
0.01,35290
0.00,35291
0.01,35291
0.01,35291
0.00,35291
0.00,35292
0.00,35292
0.01,35292
0.01,35293
0.00,35293
0.00,35293
0.00,35293
0.00,35294
0.00,35294
0.00,35294
0.00,35295
0.00,35295
0.00,35295
0.00,35295
0.00,35296
0.01,35296
0.01,35296
0.02,35297
0.00,35297
0.00,35297
0.01,35297
0.01,35298
0.00,35298
0.01,35298
0.00,35299
0.00,35299
0.01,35299
0.00,35299
0.01,35300
0.01,35300
0.00,35300
0.00,35301
0.00,35301
0.00,35301
0.01,35301
0.00,35302
0.01,35302
0.01,35302
0.01,35303
0.00,35303
0.01,35303
0.00,35303
0.01,35304
0.00,35304
0.01,35304
0.01,35304
0.00,35305
0.00,35305
0.00,35305
0.01,35306
0.00,35306
0.01,35306
0.00,35306
0.00,35307
0.00,35307
0.01,35307
0.00,35308
0.00,35308
0.00,35308
0.01,35308
0.00,35309
0.00,35309
0.01,35309
0.00,35310
0.00,35310
0.00,35310
0.00,35310
0.00,35311
0.00,35311
0.00,35311
0.01,35312
0.00,35312
0.01,35312
0.00,35312
0.00,35313
0.00,35313
0.00,35313
0.00,35314
0.01,35314
0.00,35314
0.00,35314
0.01,35315
0.00,35315
0.01,35315
0.00,35316
0.00,35316
0.01,35316
0.00,35316
0.00,35317
0.00,35317
0.00,35317
0.00,35318
0.00,35318
0.03,35318
0.01,35318
0.00,35319
0.00,35319
0.00,35319
0.00,35319
0.00,35320
0.00,35320
0.00,35320
0.00,35321
0.02,35321
0.01,35321
0.00,35321
0.00,35322
0.00,35322
0.01,35322
0.00,35322
0.01,35323
0.00,35323
0.01,35323
0.00,35323
0.00,35324
0.01,35324
0.00,35324
0.00,35325
0.00,35325
0.00,35325
0.01,35325
0.01,35326
0.01,35326
0.00,35326
0.00,35327
0.00,35327
0.00,35327
0.00,35327
0.00,35328
0.01,35328
0.00,35328
0.00,35329
0.01,35329
0.00,35329
0.01,35329
0.00,35330
0.00,35330
0.00,35330
0.01,35331
0.00,35331
0.01,35331
0.00,35331
0.01,35332
0.00,35332
0.00,35332
0.01,35333
0.00,35333
0.00,35333
0.00,35333
0.00,35334
0.00,35334
0.00,35334
0.01,35334
0.00,35335
0.00,35335
0.01,35335
0.00,35336
0.01,35336
0.01,35336
0.00,35336
0.00,35337
0.01,35337
0.00,35337
0.00,35338
0.01,35338
0.00,35338
0.01,35338
0.00,35339
0.01,35339
0.00,35339
0.00,35340
0.00,35340
0.01,35340
0.00,35340
0.00,35341
0.01,35341
0.00,35341
0.00,35342
0.00,35342
0.00,35342
0.01,35342
0.00,35343
0.01,35343
0.00,35343
0.00,35343
0.01,35344
0.00,35344
0.00,35344
0.00,35345
0.00,35345
0.00,35345
0.00,35345
0.00,35346
0.00,35346
0.00,35346
0.01,35347
0.01,35347
0.00,35347
0.00,35347
0.00,35348
0.00,35348
0.01,35348
0.01,35349
0.00,35349
0.01,35349
0.01,35349
0.00,35350
0.00,35350
0.00,35350
0.00,35351
0.00,35351
0.01,35351
0.00,35351
0.00,35352
0.00,35352
0.01,35352
0.01,35353
0.00,35353
0.00,35353
0.00,35353
0.00,35354
0.01,35354
0.00,35354
0.00,35354
0.00,35355
0.01,35355
0.00,35355
0.00,35355
0.00,35356
0.00,35356
0.01,35356
0.00,35356
0.00,35357
0.01,35357
0.00,35357
0.01,35358
0.00,35358
0.01,35358
0.01,35358
0.00,35359
0.01,35359
0.01,35359
0.01,35360
0.00,35360
0.01,35360
0.01,35360
0.00,35361
0.01,35361
0.00,35361
0.01,35362
0.01,35362
0.01,35362
0.00,35362
0.00,35363
0.00,35363
0.01,35363
0.00,35364
0.00,35364
0.01,35364
0.00,35364
0.00,35365
0.00,35365
0.01,35365
0.00,35366
0.00,35366
0.00,35366
0.00,35366
0.00,35367
0.01,35367
0.01,35367
0.00,35368
0.00,35368
0.00,35368
0.00,35368
0.00,35369
0.00,35369
0.00,35369
0.00,35369
0.01,35370
0.00,35370
0.00,35370
0.00,35371
0.01,35371
0.01,35371
0.00,35371
0.01,35372
0.00,35372
0.00,35372
0.00,35373
0.01,35373
0.00,35373
0.00,35373
0.01,35374
0.00,35374
0.01,35374
0.00,35375
0.00,35375
0.00,35375
0.01,35375
0.00,35376
0.00,35376
0.01,35376
0.01,35377
0.01,35377
0.00,35377
0.00,35377
0.00,35377
0.00,35378
0.00,35378
0.01,35378
0.00,35379
0.00,35379
0.00,35379
0.00,35379
0.00,35380
0.01,35380
0.00,35380
0.00,35381
0.01,35381
0.01,35381
0.01,35381
0.00,35382
0.01,35382
0.00,35382
0.00,35383
0.01,35383
0.00,35383
0.00,35383
0.00,35384
0.01,35384
0.01,35384
0.00,35385
0.00,35385
0.00,35385
0.00,35385
0.00,35386
0.00,35386
0.00,35386
0.00,35387
0.00,35387
0.01,35387
0.00,35387
0.00,35388
0.00,35388
0.00,35388
0.00,35389
0.00,35389
0.00,35389
0.00,35389
0.01,35390
0.01,35390
0.00,35390
0.01,35390
0.00,35391
0.00,35391
0.00,35391
0.00,35392
0.00,35392
0.01,35392
0.01,35392
0.00,35393
0.01,35393
0.00,35393
0.00,35394
0.00,35394
0.01,35394
0.00,35394
0.00,35395
0.00,35395
0.00,35395
0.01,35396
0.01,35396
0.00,35396
0.00,35396
0.01,35397
0.00,35397
0.02,35397
0.00,35398
0.00,35398
0.01,35398
0.00,35398
0.00,35399
0.00,35399
0.01,35399
0.00,35399
0.00,35400
0.01,35400
0.01,35400
0.00,35401
0.01,35401
0.00,35401
0.01,35401
0.00,35402
0.01,35402
0.00,35402
0.00,35403
0.01,35403
0.00,35403
0.00,35403
0.01,35404
0.00,35404
0.00,35404
0.00,35405
0.00,35405
0.00,35405
0.00,35405
0.01,35406
0.00,35406
0.01,35406
0.00,35406
0.01,35407
0.00,35407
0.00,35407
0.00,35408
0.00,35408
0.00,35408

Voltage,Time(ms)
2.32,35896
1.35,35897
0.72,35897
0.44,35897
0.26,35897
0.17,35898
0.12,35898
0.08,35898
0.06,35899
0.05,35899
0.04,35899
0.03,35900
0.02,35900
0.02,35900
0.02,35901
0.01,35901
0.02,35901
0.01,35901
0.01,35902
0.01,35902
0.01,35902
0.01,35903
0.01,35903
0.01,35903
0.01,35904
0.01,35904
0.01,35904
0.01,35904
0.01,35905
0.01,35905
0.01,35905
0.01,35905
0.01,35906
0.01,35906
0.01,35906
0.01,35907
0.00,35907
0.01,35907
0.01,35907
0.01,35908
0.01,35908
0.00,35908
0.00,35908
0.01,35909
0.02,35909
0.01,35909
0.00,35910
0.01,35910
0.00,35910
0.01,35910
0.00,35911
0.00,35911
0.00,35911
0.00,35912
0.01,35912
0.00,35912
0.00,35912
0.00,35913
0.01,35913
0.01,35913
0.01,35914
0.01,35914
0.01,35914
0.01,35914
0.00,35915
0.00,35915
0.01,35915
0.00,35915
0.01,35916
0.00,35916
0.00,35916
0.01,35917
0.00,35917
0.00,35917
0.01,35917
0.00,35918
0.01,35918
0.01,35918
0.01,35919
0.01,35919
0.00,35919
0.01,35919
0.01,35920
0.00,35920
0.00,35920
0.01,35921
0.01,35921
0.00,35921
0.00,35921
0.00,35922
0.00,35922
0.01,35922
0.01,35923
0.00,35923
0.01,35923
0.01,35923
0.01,35924
0.00,35924
0.01,35924
0.00,35925
0.00,35925
0.01,35925
0.01,35925
0.00,35926
0.00,35926
0.01,35926
0.01,35927
0.00,35927
0.00,35927
0.00,35927
0.00,35928
0.01,35928
0.00,35928
0.00,35929
0.01,35929
0.00,35929
0.00,35929
0.01,35930
0.00,35930
0.01,35930
0.00,35931
0.01,35931
0.01,35931
0.00,35931
0.00,35932
0.00,35932
0.01,35932
0.01,35933
0.01,35933
0.00,35933
0.01,35933
0.00,35934
0.00,35934
0.01,35934
0.01,35935
0.00,35935
0.00,35935
0.00,35935
0.00,35936
0.01,35936
0.00,35936
0.00,35936
0.00,35937
0.00,35937
0.00,35937
0.00,35937
0.01,35938
0.00,35938
0.01,35938
0.00,35939
0.00,35939
0.00,35939
0.00,35939
0.00,35940
0.00,35940
0.00,35940
0.01,35941
0.00,35941
0.00,35941
0.01,35941
0.00,35942
0.00,35942
0.01,35942
0.00,35943
0.01,35943
0.00,35943
0.00,35943
0.00,35944
0.00,35944
0.00,35944
0.00,35945
0.00,35945
0.00,35945
0.00,35945
0.00,35946
0.00,35946
0.01,35946
0.00,35947
0.00,35947
0.01,35947
0.01,35947
0.01,35948
0.01,35948
0.00,35948
0.00,35948
0.01,35949
0.01,35949
0.00,35949
0.01,35950
0.00,35950
0.00,35950
0.00,35950
0.01,35951
0.01,35951
0.01,35951
0.01,35952
0.00,35952
0.00,35952
0.00,35952
0.01,35953
0.01,35953
0.00,35953
0.01,35954
0.00,35954
0.00,35954
0.00,35954
0.01,35955
0.00,35955
0.01,35955
0.00,35956
0.00,35956
0.00,35956
0.00,35956
0.00,35957
0.00,35957
0.00,35957
0.00,35957
0.00,35958
0.01,35958
0.00,35958
0.00,35958
0.01,35959
0.01,35959
0.00,35959
0.00,35960
0.00,35960
0.00,35960
0.00,35960
0.00,35961
0.00,35961
0.00,35961
0.01,35962
0.00,35962
0.00,35962
0.01,35962
0.00,35963
0.00,35963
0.00,35963
0.01,35963
0.00,35964
0.00,35964
0.00,35964
0.00,35965
0.00,35965
0.00,35965
0.01,35966
0.00,35966
0.00,35966
0.00,35966
0.01,35967
0.00,35967
0.02,35967
0.01,35968
0.01,35968
0.00,35968
0.01,35968
0.00,35969
0.00,35969
0.01,35969
0.00,35969
0.00,35970
0.01,35970
0.01,35970
0.01,35971
0.00,35971
0.00,35971
0.00,35971
0.01,35972
0.00,35972
0.00,35972
0.01,35973
0.01,35973
0.01,35973
0.00,35973
0.01,35974
0.00,35974
0.00,35974
0.01,35974
0.00,35975
0.00,35975
0.00,35975
0.00,35976
0.01,35976
0.01,35976
0.00,35976
0.00,35977
0.00,35977
0.01,35977
0.00,35978
0.00,35978
0.01,35978
0.01,35978
0.00,35979
0.00,35979
0.00,35979
0.00,35980
0.00,35980
0.00,35980
0.00,35980
0.00,35981
0.00,35981
0.01,35981
0.00,35982
0.00,35982
0.00,35982
0.01,35982
0.00,35983
0.00,35983
0.00,35983
0.00,35984
0.00,35984
0.01,35984
0.00,35984
0.01,35985
0.01,35985
0.00,35985
0.00,35986
0.00,35986
0.00,35986
0.01,35986
0.01,35987
0.00,35987
0.00,35987
0.01,35988
0.00,35988
0.01,35988
0.01,35988
0.00,35989
0.01,35989
0.00,35989
0.00,35990
0.00,35990
0.01,35990
0.00,35990
0.01,35991
0.00,35991
0.00,35991
0.00,35992
0.00,35992
0.00,35992
0.01,35992
0.00,35993
0.00,35993
0.00,35993
0.01,35994
